method,matrix_name,d_det,d_hamming,prototype,center_pattern_key,center_active_determinants,center_weight,center_weight_pct,n_unique_patterns_in_ball,incremental_covered_weight,incremental_covered_pct,cumulative_covered_weight,cumulative_covered_pct,weighted_mean_hamming,max_hamming_in_ball,total_weight,n_unique_patterns,n_bootstraps,pool_weighting,max_possible_hamming,effective_hamming_radius,min_common_determinants,min_common_pct,odd_radius_redundant,radius_can_cover_any_pattern
EFA,matrix_32_ext_0_1,8,0,1,00000000000000000000010101111110,det_22_peer_pressure; det_24_socialising; det_26_novelty; det_27_fun; det_28_recognition; det_29_trends; det_30_authority; det_31_approval,47.452380952381,9.490476190475992,1,47.452380952381,9.490476190475992,47.452380952381,9.490476190475992,0,0,500.00000000001097,1866,100,equal_candidate,16,0,8,100,FALSE,FALSE
EFA,matrix_32_ext_0_1,8,0,2,00000000000000000000010110111110,det_22_peer_pressure; det_24_socialising; det_25_agreement; det_27_fun; det_28_recognition; det_29_trends; det_30_authority; det_31_approval,26.87380952380951,5.374761904761784,1,26.87380952380951,5.374761904761784,74.3261904761905,14.865238095237775,0,0,500.00000000001097,1866,100,equal_candidate,16,0,8,100,FALSE,FALSE
EFA,matrix_32_ext_0_1,8,0,3,00000000000010000000010100111110,det_13_technical_fit; det_22_peer_pressure; det_24_socialising; det_27_fun; det_28_recognition; det_29_trends; det_30_authority; det_31_approval,3.792857142857142,0.7585714285714117,1,3.792857142857142,0.7585714285714117,78.11904761904765,15.623809523809188,0,0,500.00000000001097,1866,100,equal_candidate,16,0,8,100,FALSE,FALSE
EFA,matrix_32_ext_0_1,8,0,4,00000000000000000000011100111110,det_22_peer_pressure; det_23_support; det_24_socialising; det_27_fun; det_28_recognition; det_29_trends; det_30_authority; det_31_approval,3.5880952380952382,0.7176190476190318,1,3.5880952380952382,0.7176190476190318,81.70714285714288,16.341428571428217,0,0,500.00000000001097,1866,100,equal_candidate,16,0,8,100,FALSE,FALSE
EFA,matrix_32_ext_0_1,8,0,5,10010100000001000000101010000001,det_01_profits; det_04_added_value; det_06_climate_protection; det_14_environmental_concerns; det_21_rights_and_duties; det_23_support; det_25_agreement; det_32_own_significance,2.475,0.4949999999999891,1,2.475,0.4949999999999891,84.18214285714288,16.836428571428208,0,0,500.00000000001097,1866,100,equal_candidate,16,0,8,100,FALSE,FALSE
EFA,matrix_32_ext_0_1,8,0,6,00010100000101000000101010000001,det_04_added_value; det_06_climate_protection; det_12_own_competence; det_14_environmental_concerns; det_21_rights_and_duties; det_23_support; det_25_agreement; det_32_own_significance,2.3511904761904763,0.4702380952380849,1,2.3511904761904763,0.4702380952380849,86.53333333333336,17.306666666666292,0,0,500.00000000001097,1866,100,equal_candidate,16,0,8,100,FALSE,FALSE
EFA,matrix_32_ext_0_1,8,0,7,00010100000001000000101010100001,det_04_added_value; det_06_climate_protection; det_14_environmental_concerns; det_21_rights_and_duties; det_23_support; det_25_agreement; det_27_fun; det_32_own_significance,2.2428571428571424,0.44857142857141863,1,2.2428571428571424,0.44857142857141863,88.77619047619051,17.75523809523771,0,0,500.00000000001097,1866,100,equal_candidate,16,0,8,100,FALSE,FALSE
EFA,matrix_32_ext_0_1,8,0,8,00010100000001000000111010000001,det_04_added_value; det_06_climate_protection; det_14_environmental_concerns; det_21_rights_and_duties; det_22_peer_pressure; det_23_support; det_25_agreement; det_32_own_significance,2.2345238095238096,0.44690476190475215,1,2.2345238095238096,0.44690476190475215,91.01071428571431,18.202142857142462,0,0,500.00000000001097,1866,100,equal_candidate,16,0,8,100,FALSE,FALSE
EFA,matrix_32_ext_0_1,8,0,9,10101000110000100011000000000000,det_01_profits; det_03_risk_profile; det_05_frugality; det_09_safety; det_10_cost_efficiency; det_15_self_satisfaction; det_19_wellbeing; det_20_coziness,2.067857142857143,0.41357142857141954,1,2.067857142857143,0.41357142857141954,93.07857142857145,18.61571428571388,0,0,500.00000000001097,1866,100,equal_candidate,16,0,8,100,FALSE,FALSE
EFA,matrix_32_ext_0_1,8,0,10,00100001110010100011000000000000,det_03_risk_profile; det_08_trust; det_09_safety; det_10_cost_efficiency; det_13_technical_fit; det_15_self_satisfaction; det_19_wellbeing; det_20_coziness,2.066666666666667,0.4133333333333243,1,2.066666666666667,0.4133333333333243,95.14523809523811,19.029047619047205,0,0,500.00000000001097,1866,100,equal_candidate,16,0,8,100,FALSE,FALSE
