"cluster","expert_row","vol_cluster","cluster_dets_all","vol_expert","expert_dets_all","vol_common","common_dets","pct_cluster_covered","pct_expert_covered"
1,"Early Adopter",15,"CREDIT.SCORE, RISK.PROFILE, LEGAL, TRUST, SAFETY, COST.EFFICIENCY, KNOWLEDGE, OWN.COMPETENCE, TECHNICAL.FIT, ENVIRONMENTAL.CONCERNS, SELF.SATISFACTION, COMMITMENT, ADHERENCE, WELLBEING, RIGHTS.AND.DUTIES",7,"CREDIT.SCORE, KNOWLEDGE, PEER.PRESSURE, NOVELTY, FUN, TRENDS, AUTHORITY",2,"CREDIT.SCORE, KNOWLEDGE",13.3333333333333,28.5714285714286
1,"Uninterested",15,"CREDIT.SCORE, RISK.PROFILE, LEGAL, TRUST, SAFETY, COST.EFFICIENCY, KNOWLEDGE, OWN.COMPETENCE, TECHNICAL.FIT, ENVIRONMENTAL.CONCERNS, SELF.SATISFACTION, COMMITMENT, ADHERENCE, WELLBEING, RIGHTS.AND.DUTIES",7,"LEGAL, SAFETY, TECHNICAL.FIT, SELF.SATISFACTION, WELLBEING, RIGHTS.AND.DUTIES, PEER.PRESSURE",6,"LEGAL, SAFETY, TECHNICAL.FIT, SELF.SATISFACTION, WELLBEING, RIGHTS.AND.DUTIES",40,85.7142857142857
1,"Homo Economicus",15,"CREDIT.SCORE, RISK.PROFILE, LEGAL, TRUST, SAFETY, COST.EFFICIENCY, KNOWLEDGE, OWN.COMPETENCE, TECHNICAL.FIT, ENVIRONMENTAL.CONCERNS, SELF.SATISFACTION, COMMITMENT, ADHERENCE, WELLBEING, RIGHTS.AND.DUTIES",11,"PROFITS, CREDIT.SCORE, RISK.PROFILE, ADDED.VALUE, FRUGALITY, LEGAL, TRUST, SAFETY, COST.EFFICIENCY, KNOWLEDGE, TECHNICAL.FIT",8,"CREDIT.SCORE, RISK.PROFILE, LEGAL, TRUST, SAFETY, COST.EFFICIENCY, KNOWLEDGE, TECHNICAL.FIT",53.3333333333333,72.7272727272727
1,"Fearful",15,"CREDIT.SCORE, RISK.PROFILE, LEGAL, TRUST, SAFETY, COST.EFFICIENCY, KNOWLEDGE, OWN.COMPETENCE, TECHNICAL.FIT, ENVIRONMENTAL.CONCERNS, SELF.SATISFACTION, COMMITMENT, ADHERENCE, WELLBEING, RIGHTS.AND.DUTIES",13,"PROFITS, CREDIT.SCORE, RISK.PROFILE, LEGAL, TRUST, SAFETY, KNOWLEDGE, OWN.COMPETENCE, TECHNICAL.FIT, ADHERENCE, WELLBEING, RIGHTS.AND.DUTIES, OWN.SIGNIFICANCE",11,"CREDIT.SCORE, RISK.PROFILE, LEGAL, TRUST, SAFETY, KNOWLEDGE, OWN.COMPETENCE, TECHNICAL.FIT, ADHERENCE, WELLBEING, RIGHTS.AND.DUTIES",73.3333333333333,84.6153846153846
1,"Stubborn",15,"CREDIT.SCORE, RISK.PROFILE, LEGAL, TRUST, SAFETY, COST.EFFICIENCY, KNOWLEDGE, OWN.COMPETENCE, TECHNICAL.FIT, ENVIRONMENTAL.CONCERNS, SELF.SATISFACTION, COMMITMENT, ADHERENCE, WELLBEING, RIGHTS.AND.DUTIES",9,"CREDIT.SCORE, CLIMATE.PROTECTION, OWN.COMPETENCE, TECHNICAL.FIT, ENVIRONMENTAL.CONCERNS, SELF.SATISFACTION, COMMITMENT, ADHERENCE, OWN.SIGNIFICANCE",7,"CREDIT.SCORE, OWN.COMPETENCE, TECHNICAL.FIT, ENVIRONMENTAL.CONCERNS, SELF.SATISFACTION, COMMITMENT, ADHERENCE",46.6666666666667,77.7777777777778
1,"Influencer",15,"CREDIT.SCORE, RISK.PROFILE, LEGAL, TRUST, SAFETY, COST.EFFICIENCY, KNOWLEDGE, OWN.COMPETENCE, TECHNICAL.FIT, ENVIRONMENTAL.CONCERNS, SELF.SATISFACTION, COMMITMENT, ADHERENCE, WELLBEING, RIGHTS.AND.DUTIES",9,"CREDIT.SCORE, TECHNICAL.FIT, RIGHTS.AND.DUTIES, PEER.PRESSURE, SUPPORT, SOCIALISING, AGREEMENT, TRENDS, AUTHORITY",3,"CREDIT.SCORE, TECHNICAL.FIT, RIGHTS.AND.DUTIES",20,33.3333333333333
1,"Careful",15,"CREDIT.SCORE, RISK.PROFILE, LEGAL, TRUST, SAFETY, COST.EFFICIENCY, KNOWLEDGE, OWN.COMPETENCE, TECHNICAL.FIT, ENVIRONMENTAL.CONCERNS, SELF.SATISFACTION, COMMITMENT, ADHERENCE, WELLBEING, RIGHTS.AND.DUTIES",14,"CREDIT.SCORE, RISK.PROFILE, TRUST, SAFETY, KNOWLEDGE, OWN.COMPETENCE, TECHNICAL.FIT, SELF.SATISFACTION, COMMITMENT, ADHERENCE, AUTARKY, WELLBEING, SUPPORT, OWN.SIGNIFICANCE",11,"CREDIT.SCORE, RISK.PROFILE, TRUST, SAFETY, KNOWLEDGE, OWN.COMPETENCE, TECHNICAL.FIT, SELF.SATISFACTION, COMMITMENT, ADHERENCE, WELLBEING",73.3333333333333,78.5714285714286
2,"Early Adopter",15,"PROFITS, CREDIT.SCORE, RISK.PROFILE, FRUGALITY, TRUST, SAFETY, COST.EFFICIENCY, KNOWLEDGE, OWN.COMPETENCE, TECHNICAL.FIT, SELF.SATISFACTION, ADHERENCE, AUTARKY, WELLBEING, COZINESS",7,"CREDIT.SCORE, KNOWLEDGE, PEER.PRESSURE, NOVELTY, FUN, TRENDS, AUTHORITY",2,"CREDIT.SCORE, KNOWLEDGE",13.3333333333333,28.5714285714286
2,"Uninterested",15,"PROFITS, CREDIT.SCORE, RISK.PROFILE, FRUGALITY, TRUST, SAFETY, COST.EFFICIENCY, KNOWLEDGE, OWN.COMPETENCE, TECHNICAL.FIT, SELF.SATISFACTION, ADHERENCE, AUTARKY, WELLBEING, COZINESS",7,"LEGAL, SAFETY, TECHNICAL.FIT, SELF.SATISFACTION, WELLBEING, RIGHTS.AND.DUTIES, PEER.PRESSURE",4,"SAFETY, TECHNICAL.FIT, SELF.SATISFACTION, WELLBEING",26.6666666666667,57.1428571428571
2,"Homo Economicus",15,"PROFITS, CREDIT.SCORE, RISK.PROFILE, FRUGALITY, TRUST, SAFETY, COST.EFFICIENCY, KNOWLEDGE, OWN.COMPETENCE, TECHNICAL.FIT, SELF.SATISFACTION, ADHERENCE, AUTARKY, WELLBEING, COZINESS",11,"PROFITS, CREDIT.SCORE, RISK.PROFILE, ADDED.VALUE, FRUGALITY, LEGAL, TRUST, SAFETY, COST.EFFICIENCY, KNOWLEDGE, TECHNICAL.FIT",9,"PROFITS, CREDIT.SCORE, RISK.PROFILE, FRUGALITY, TRUST, SAFETY, COST.EFFICIENCY, KNOWLEDGE, TECHNICAL.FIT",60,81.8181818181818
