det_id,det_name,rv_prefix,why_prefix,diego_col,det_col,rv_col,why_col,diego_col_resolved
1,profits,rv_decision__profits_,why__a_,diego_det_01_0_100,det_01_profits,rv_decision__profits_profits_are_what_guide_my_decision_making_i_always_prefer_to_earn_or_save_money_with_every_decision_i_take,why__a_profits_are_what_guide_my_decision_making_i_always_prefer_to_earn_or_save_money_with_every_decision_i_take_id97,diego_det_01_0_100
2,credit_score,rv_decision__credit_score_,why__b_,diego_det_02_0_100,det_02_credit_score,rv_decision__credit_score_access_to_funding_my_own_savings_deductions_exemptions_and_or_credits_is_the_main_factor_that_allows_hinders_me_to_make_an_investment_decision,why__b_access_to_funding_my_own_savings_deductions_exemptions_and_or_credits_is_the_main_factor_that_allows_hinders_me_to_make_an_investment_decision_id99,diego_det_02_0_100
3,risk_profile,rv_decision__risk_profile_,why__c_,diego_det_03_0_100,det_03_risk_profile,rv_decision__risk_profile_the_evaluation_of_the_risks_of_my_investment_s_is_what_will_always_guide_my_final_decision,why__c_the_evaluation_of_the_risks_of_my_investment_s_is_what_will_always_guide_my_final_decision_id100,diego_det_03_0_100
4,added_value,rv_decision__added_value_,why__d_,diego_det_04_0_100,det_04_added_value,rv_decision__added_value_i_will_only_invest_if_my_actions_have_an_impact_beyond_the_monetary_gain_losses,why__d_i_will_only_invest_if_my_actions_have_an_impact_beyond_the_monetary_gain_losses_id101,diego_det_04_0_100
5,frugality,rv_decision__frugality_,why__e_,diego_det_05_0_100,det_05_frugality,rv_decision__frugality_i_am_a_thrifty_person_so_i_only_invest_in_actions_that_allow_me_to_reduce_my_cost_impact_expenditures,why__e_i_am_a_thrifty_person_so_i_only_invest_in_actions_that_allow_me_to_reduce_my_cost_impact_expenditures_id2,diego_det_05_0_100
6,climate_protection,rv_decision__climate_protection_,why__f_,diego_det_06_0_100,det_06_climate_protection,rv_decision__climate_protection_every_decision_i_take_serves_to_foster_the_planets_preservation_if_my_choice_might_harm_the_environment_i_will_always_avoid_taking_this_action,why__f_every_decision_i_take_serves_to_foster_the_planets_preservation_if_my_choice_might_harm_the_environment_i_will_always_avoid_taking_this_action_id111,diego_det_06_0_100
7,legal,rv_decision__legal_,why__g_,diego_det_07_0_100,det_07_legal,rv_decision__legal_having_complete_certainty_that_my_actions_comply_with_the_legal_tax_and_administrative_regulations_are_what_guide_my_actions,why__g_having_complete_certainty_that_my_actions_comply_with_the_legal_tax_and_administrative_regulations_are_what_guide_my_actions_id110,diego_det_07_0_100
8,trust,rv_decision__trust_,why__h_,diego_det_08_0_100,det_08_trust,rv_decision__trust_i_only_make_decisions_if_i_trust_all_the_parties_involved_e_g_public_administration_neighbors_and_that_i_trust_the_technology_that_is_needed_to_accomplish_my_goal,why__h_i_only_make_decisions_if_i_trust_all_the_parties_involved_e_g_public_administration_neighbors_and_that_i_trust_the_technology_that_is_needed_to_accomplish_my_goal_id108,diego_det_08_0_100
9,safety,rv_decision__safety_,why__i_i,diego_det_09_0_100,det_09_safety,rv_decision__safety_i_only_make_decisions_if_the_outcome_of_them_ensures_or_improves_my_safety_or_the_ones_of_my_relatives,why__i_i_only_make_decisions_if_the_outcome_of_them_ensures_or_improves_my_safety_or_the_ones_of_my_relatives_id107,diego_det_09_0_100
10,cost_efficiency,rv_decision__cost_efficiency_,why__j_,diego_det_10_0_100,det_10_cost_efficiency,rv_decision__cost_efficiency_i_always_review_and_assess_the_pros_and_cons_of_my_decisions_looking_for_the_most_cost_effective_option,why__j_i_always_review_and_assess_the_pros_and_cons_of_my_decisions_looking_for_the_most_cost_effective_option_id106,diego_det_10_0_100
