context,variable,category,n,total_n,prop
01_all_integrated_rows,dataset_source,diego,1899,4756,0.3992851135407906
01_all_integrated_rows,dataset_source,why,1628,4756,0.3423044575273339
01_all_integrated_rows,dataset_source,rv,1229,4756,0.25841042893187555
01_all_integrated_rows,subsample,DIEGO,1899,4756,0.3992851135407906
01_all_integrated_rows,subsample,RENOVISOR,1229,4756,0.25841042893187555
01_all_integrated_rows,subsample,WHY_EUROPE,990,4756,0.20815811606391926
01_all_integrated_rows,subsample,WHY_LATAM,638,4756,0.13414634146341464
01_all_integrated_rows,comparison_region,EUROPE,4118,4756,0.8658536585365854
01_all_integrated_rows,comparison_region,LATAM,638,4756,0.13414634146341464
01_all_integrated_rows,source_survey,Survey_September2023_cleaned,1899,4756,0.3992851135407906
01_all_integrated_rows,source_survey,Investment_Arquetypes_2022,1628,4756,0.3423044575273339
01_all_integrated_rows,source_survey,decision,902,4756,0.1896551724137931
01_all_integrated_rows,source_survey,energy_crisis,107,4756,0.02249789739276703
01_all_integrated_rows,source_survey,concerns2,100,4756,0.021026072329688814
01_all_integrated_rows,source_survey,poverty,38,4756,0.00798990748528175
01_all_integrated_rows,source_survey,concerns2;decision,16,4756,0.00336417157275021
01_all_integrated_rows,source_survey,concerns2;energy_crisis;poverty,14,4756,0.002943650126156434
01_all_integrated_rows,source_survey,concerns2;decision;poverty,12,4756,0.002523128679562658
01_all_integrated_rows,source_survey,concerns2;decision;energy_crisis;poverty,10,4756,0.0021026072329688814
01_all_integrated_rows,source_survey,decision;energy_crisis,10,4756,0.0021026072329688814
01_all_integrated_rows,source_survey,decision;energy_crisis;poverty,7,4756,0.001471825063078217
01_all_integrated_rows,source_survey,concerns2;energy_crisis,4,4756,8.410428931875525e-4
01_all_integrated_rows,source_survey,concerns2;poverty,4,4756,8.410428931875525e-4
01_all_integrated_rows,source_survey,energy_crisis;poverty,4,4756,8.410428931875525e-4
01_all_integrated_rows,source_survey,decision;poverty,1,4756,2.1026072329688813e-4
01_all_integrated_rows,country_model,DE,801,4756,0.1684188393608074
01_all_integrated_rows,country_model,IT,767,4756,0.16126997476871321
01_all_integrated_rows,country_model,ES,698,4756,0.14676198486122793
01_all_integrated_rows,country_model,MX,544,4756,0.11438183347350715
01_all_integrated_rows,country_model,NL,396,4756,0.0832632464255677
01_all_integrated_rows,country_model,GR,238,4756,0.05004205214465938
01_all_integrated_rows,country_model,FR,213,4756,0.044785534062237176
01_all_integrated_rows,country_model,GB,182,4756,0.038267451640033645
01_all_integrated_rows,country_model,PL,157,4756,0.033010933557611435
01_all_integrated_rows,country_model,BE,138,4756,0.029015979814970564
01_all_integrated_rows,country_model,Missing,116,4756,0.024390243902439025
01_all_integrated_rows,country_model,HU,84,4756,0.017661900756938603
01_all_integrated_rows,country_model,CL,78,4756,0.016400336417157275
01_all_integrated_rows,country_model,PT,48,4756,0.010092514718250631
01_all_integrated_rows,country_model,IE,44,4756,0.009251471825063078
01_all_integrated_rows,country_model,RO,34,4756,0.007148864592094197
01_all_integrated_rows,country_model,CZ,32,4756,0.00672834314550042
01_all_integrated_rows,country_model,AT,28,4756,0.005887300252312868
01_all_integrated_rows,country_model,SE,24,4756,0.005046257359125316
01_all_integrated_rows,country_model,FI,23,4756,0.004835996635828428
01_all_integrated_rows,country_model,LV,18,4756,0.0037846930193439865
01_all_integrated_rows,country_model,SI,17,4756,0.0035744322960470985
01_all_integrated_rows,country_model,CO,16,4756,0.00336417157275021
01_all_integrated_rows,country_model,CH,12,4756,0.002523128679562658
01_all_integrated_rows,country_model,DK,11,4756,0.0023128679562657694
01_all_integrated_rows,country_model,SK,10,4756,0.0021026072329688814
01_all_integrated_rows,country_model,EE,8,4756,0.001682085786375105
01_all_integrated_rows,country_model,NO,8,4756,0.001682085786375105
01_all_integrated_rows,country_model,BG,3,4756,6.307821698906644e-4
01_all_integrated_rows,country_model,IS,2,4756,4.2052144659377626e-4
01_all_integrated_rows,country_model,LT,2,4756,4.2052144659377626e-4
01_all_integrated_rows,country_model,OTHER_EU,2,4756,4.2052144659377626e-4
01_all_integrated_rows,country_model,LU,1,4756,2.1026072329688813e-4
01_all_integrated_rows,country_model,MT,1,4756,2.1026072329688813e-4
01_all_integrated_rows,country_model_grouped,DE,801,4756,0.1684188393608074
01_all_integrated_rows,country_model_grouped,IT,767,4756,0.16126997476871321
01_all_integrated_rows,country_model_grouped,ES,698,4756,0.14676198486122793
01_all_integrated_rows,country_model_grouped,MX,544,4756,0.11438183347350715
01_all_integrated_rows,country_model_grouped,NL,396,4756,0.0832632464255677
01_all_integrated_rows,country_model_grouped,GR,238,4756,0.05004205214465938
01_all_integrated_rows,country_model_grouped,FR,213,4756,0.044785534062237176
01_all_integrated_rows,country_model_grouped,GB,182,4756,0.038267451640033645
01_all_integrated_rows,country_model_grouped,PL,157,4756,0.033010933557611435
01_all_integrated_rows,country_model_grouped,BE,138,4756,0.029015979814970564
01_all_integrated_rows,country_model_grouped,UNKNOWN,116,4756,0.024390243902439025
01_all_integrated_rows,country_model_grouped,HU,84,4756,0.017661900756938603
01_all_integrated_rows,country_model_grouped,CL,78,4756,0.016400336417157275
01_all_integrated_rows,country_model_grouped,PT,48,4756,0.010092514718250631
01_all_integrated_rows,country_model_grouped,IE,44,4756,0.009251471825063078
01_all_integrated_rows,country_model_grouped,RO,34,4756,0.007148864592094197
01_all_integrated_rows,country_model_grouped,CZ,32,4756,0.00672834314550042
01_all_integrated_rows,country_model_grouped,AT,28,4756,0.005887300252312868
01_all_integrated_rows,country_model_grouped,OTHER_COUNTRIES,27,4756,0.0056770395290159795
01_all_integrated_rows,country_model_grouped,SE,24,4756,0.005046257359125316
01_all_integrated_rows,country_model_grouped,FI,23,4756,0.004835996635828428
01_all_integrated_rows,country_model_grouped,LV,18,4756,0.0037846930193439865
01_all_integrated_rows,country_model_grouped,SI,17,4756,0.0035744322960470985
01_all_integrated_rows,country_model_grouped,CO,16,4756,0.00336417157275021
01_all_integrated_rows,country_model_grouped,CH,12,4756,0.002523128679562658
01_all_integrated_rows,country_model_grouped,DK,11,4756,0.0023128679562657694
01_all_integrated_rows,country_model_grouped,SK,10,4756,0.0021026072329688814
01_all_integrated_rows,country_region_model,southern_europe,1769,4756,0.3719512195121951
01_all_integrated_rows,country_region_model,western_europe,1589,4756,0.33410428931875524
01_all_integrated_rows,country_region_model,latin_america,638,4756,0.13414634146341464
01_all_integrated_rows,country_region_model,northern_europe,322,4756,0.06770395290159797
01_all_integrated_rows,country_region_model,eastern_europe,320,4756,0.0672834314550042
01_all_integrated_rows,country_region_model,unknown,116,4756,0.024390243902439025
01_all_integrated_rows,country_region_model,other_region,2,4756,4.2052144659377626e-4
01_all_integrated_rows,age_group_model,25_34,1733,4756,0.36438183347350717
01_all_integrated_rows,age_group_model,18_24,1207,4756,0.253784693019344
01_all_integrated_rows,age_group_model,45_54,777,4756,0.1633725820016821
01_all_integrated_rows,age_group_model,35_44,415,4756,0.08725820016820858
01_all_integrated_rows,age_group_model,unknown,382,4756,0.08031959629941127
01_all_integrated_rows,age_group_model,55_64,123,4756,0.02586206896551724
01_all_integrated_rows,age_group_model,65_plus,119,4756,0.02502102607232969
01_all_integrated_rows,gender_model,male,2306,4756,0.48486122792262404
01_all_integrated_rows,gender_model,female,2110,4756,0.44365012615643395
01_all_integrated_rows,gender_model,unknown,293,4756,0.06160639192598823
01_all_integrated_rows,gender_model,other,47,4756,0.009882253994953743
01_all_integrated_rows,education_model,high,1991,4756,0.4186291000841043
01_all_integrated_rows,education_model,unknown,1760,4756,0.3700588730025231
01_all_integrated_rows,education_model,medium,912,4756,0.191757779646762
01_all_integrated_rows,education_model,other,55,4756,0.011564339781328847
01_all_integrated_rows,education_model,conflict,29,4756,0.006097560975609756
01_all_integrated_rows,education_model,low,9,4756,0.0018923465096719932
01_all_integrated_rows,education_tfm_model,university,1991,4756,0.4186291000841043
01_all_integrated_rows,education_tfm_model,unknown,1760,4756,0.3700588730025231
01_all_integrated_rows,education_tfm_model,non_university,921,4756,0.19365012615643398
01_all_integrated_rows,education_tfm_model,other,55,4756,0.011564339781328847
01_all_integrated_rows,education_tfm_model,conflict,29,4756,0.006097560975609756
01_all_integrated_rows,employment_model,employed,2505,4756,0.5267031118587048
01_all_integrated_rows,employment_model,unknown,669,4756,0.14066442388561817
01_all_integrated_rows,employment_model,student,559,4756,0.11753574432296048
01_all_integrated_rows,employment_model,unemployed,385,4756,0.08095037846930193
01_all_integrated_rows,employment_model,self_employed,334,4756,0.07022708158116064
01_all_integrated_rows,employment_model,other,165,4756,0.034693019343986546
01_all_integrated_rows,employment_model,retired,89,4756,0.018713204373423043
01_all_integrated_rows,employment_model,inactive_other,50,4756,0.010513036164844407
01_all_integrated_rows,city_size_model,unknown,3635,4756,0.7642977291841884
01_all_integrated_rows,city_size_model,rural_small,1120,4756,0.23549201009251472
01_all_integrated_rows,city_size_model,conflict,1,4756,2.1026072329688813e-4
01_all_integrated_rows,tenure_model,unknown,3643,4756,0.7659798149705634
01_all_integrated_rows,tenure_model,owner_without_mortgage,396,4756,0.0832632464255677
01_all_integrated_rows,tenure_model,rent,371,4756,0.0780067283431455
01_all_integrated_rows,tenure_model,owner_with_mortgage,285,4756,0.05992430613961312
01_all_integrated_rows,tenure_model,other,34,4756,0.007148864592094197
01_all_integrated_rows,tenure_model,family_home,23,4756,0.004835996635828428
01_all_integrated_rows,tenure_model,conflict,4,4756,8.410428931875525e-4
01_all_integrated_rows,tenure_tfm_model,unknown,3643,4756,0.7659798149705634
01_all_integrated_rows,tenure_tfm_model,Non-homeowner,428,4756,0.08999158957106812
01_all_integrated_rows,tenure_tfm_model,Homeowner without mortgage,396,4756,0.0832632464255677
01_all_integrated_rows,tenure_tfm_model,Homeowner with mortgage,285,4756,0.05992430613961312
01_all_integrated_rows,tenure_tfm_model,conflict,4,4756,8.410428931875525e-4
01_all_integrated_rows,income_model,unknown,2992,4756,0.6291000841042893
01_all_integrated_rows,income_model,medium,814,4756,0.17115222876366695
01_all_integrated_rows,income_model,low,543,4756,0.11417157275021025
01_all_integrated_rows,income_model,high,407,4756,0.08557611438183348
01_all_integrated_rows,vote_status_declared,unknown,3649,4756,0.7672413793103449
01_all_integrated_rows,vote_status_declared,voter,484,4756,0.10176619007569386
01_all_integrated_rows,vote_status_declared,uncertain,475,4756,0.09987384356602187
01_all_integrated_rows,vote_status_declared,abstainer,142,4756,0.029857022708158116
01_all_integrated_rows,vote_status_declared,conflict,6,4756,0.001261564339781329
