bootstrap_id,target_sample_type,row_quality_final,n,prop_within_type
1,abstention,no_determinants,35,0.0691699604743083
1,abstention,suspicious_determinants,1,0.001976284584980237
1,abstention,too_many_missing_determinants,5,0.009881422924901186
1,abstention,usable_complete,407,0.8043478260869565
1,abstention,usable_complete_limited_metadata,14,0.02766798418972332
1,abstention,usable_partial,38,0.07509881422924901
1,abstention,usable_partial_limited_metadata,6,0.011857707509881422
1,voter,no_determinants,163,0.3299595141700405
1,voter,suspicious_determinants,4,0.008097165991902834
1,voter,too_many_missing_determinants,41,0.08299595141700405
1,voter,usable_complete,149,0.3016194331983806
1,voter,usable_complete_limited_metadata,2,0.004048582995951417
1,voter,usable_partial,134,0.27125506072874495
1,voter,usable_partial_limited_metadata,1,0.0020242914979757085
2,abstention,no_determinants,51,0.1007905138339921
2,abstention,suspicious_determinants,1,0.001976284584980237
2,abstention,too_many_missing_determinants,6,0.011857707509881422
2,abstention,usable_complete,403,0.7964426877470355
2,abstention,usable_complete_limited_metadata,15,0.029644268774703556
2,abstention,usable_partial,27,0.0533596837944664
2,abstention,usable_partial_limited_metadata,3,0.005928853754940711
2,voter,no_determinants,163,0.3299595141700405
2,voter,suspicious_determinants,4,0.008097165991902834
2,voter,too_many_missing_determinants,34,0.06882591093117409
2,voter,usable_complete,158,0.31983805668016196
2,voter,usable_complete_limited_metadata,3,0.006072874493927126
2,voter,usable_partial,131,0.2651821862348178
2,voter,usable_partial_limited_metadata,1,0.0020242914979757085
3,abstention,no_determinants,41,0.08102766798418973
3,abstention,too_many_missing_determinants,7,0.01383399209486166
3,abstention,usable_complete,405,0.8003952569169961
3,abstention,usable_complete_limited_metadata,15,0.029644268774703556
3,abstention,usable_partial,31,0.06126482213438735
3,abstention,usable_partial_limited_metadata,7,0.01383399209486166
3,voter,no_determinants,141,0.28542510121457487
3,voter,suspicious_determinants,5,0.010121457489878543
3,voter,too_many_missing_determinants,44,0.08906882591093117
3,voter,usable_complete,161,0.3259109311740891
3,voter,usable_complete_limited_metadata,3,0.006072874493927126
3,voter,usable_partial,139,0.2813765182186235
3,voter,usable_partial_limited_metadata,1,0.0020242914979757085
4,abstention,no_determinants,45,0.08893280632411067
4,abstention,too_many_missing_determinants,5,0.009881422924901186
4,abstention,usable_complete,404,0.7984189723320159
4,abstention,usable_complete_limited_metadata,14,0.02766798418972332
4,abstention,usable_partial,31,0.06126482213438735
4,abstention,usable_partial_limited_metadata,7,0.01383399209486166
4,voter,no_determinants,132,0.26720647773279355
4,voter,suspicious_determinants,2,0.004048582995951417
4,voter,too_many_missing_determinants,46,0.0931174089068826
4,voter,usable_complete,172,0.3481781376518219
4,voter,usable_complete_limited_metadata,5,0.010121457489878543
4,voter,usable_partial,137,0.2773279352226721
5,abstention,no_determinants,50,0.09881422924901186
5,abstention,too_many_missing_determinants,3,0.005928853754940711
5,abstention,usable_complete,392,0.7747035573122529
5,abstention,usable_complete_limited_metadata,14,0.02766798418972332
5,abstention,usable_partial,42,0.08300395256916997
