participant_id,stage,technology_raw,dimensions_raw,technology
PROLIFIC_6a229a11e392c08625a712bd,Implementada,"Envelope renovation (e.g. wall/roof insulation, double windows).","FINANCIAL: Economic implications of the renovation, including costs, financial risks, access to funding, and potential economic benefits or losses.",Renovación de envolvente
PROLIFIC_69f0ef9892bba1b2c3596e76,Implementada,Rooftop photovoltaic system (Solar PV).,"FINANCIAL: Economic implications of the renovation, including costs, financial risks, access to funding, and potential economic benefits or losses.",Renovación de envolvente
PROLIFIC_6a229bc24afaa132a0944070,Implementada,Domestic hot water system.,"FINANCIAL: Economic implications of the renovation, including costs, financial risks, access to funding, and potential economic benefits or losses.;PHYSIOLOGICAL: The impact of the renovation on health, physical wellbeing, and everyday comfort in the home.;MEANING: Whether the renovation aligns with my values and sense of purpose, such as contributing to climate protection or doing something meaningful.",Agua caliente sanitaria
PROLIFIC_5f2dcc4c7989510ff7699cab,Implementada,Energy-efficient appliances.,"FINANCIAL: Economic implications of the renovation, including costs, financial risks, access to funding, and potential economic benefits or losses.;COMPETENCE: How manageable the renovation feels in terms of knowledge, skills, technical feasibility, and my ability to make informed decisions.;AUTONOMY: The degree of personal control, effort, and long-term commitment required, and whether I feel able to sustain the decision over time.",Electrodomésticos eficientes
PROLIFIC_661581f5ba8868414baed7ca,Implementada,Cooling system.,"PHYSIOLOGICAL: The impact of the renovation on health, physical wellbeing, and everyday comfort in the home.",Sistema de refrigeración
CODE_6a1d9,Implementada,Cooling system.,"FINANCIAL: Economic implications of the renovation, including costs, financial risks, access to funding, and potential economic benefits or losses.;COMPETENCE: How manageable the renovation feels in terms of knowledge, skills, technical feasibility, and my ability to make informed decisions.;AUTONOMY: The degree of personal control, effort, and long-term commitment required, and whether I feel able to sustain the decision over time.",Sistema de refrigeración
PROLIFIC_5aeb24e22bd17300018779f2,Implementada,Micro-efficiency measures (e.g. avoiding unnecessary loads).,"FINANCIAL: Economic implications of the renovation, including costs, financial risks, access to funding, and potential economic benefits or losses.;AUTONOMY: The degree of personal control, effort, and long-term commitment required, and whether I feel able to sustain the decision over time.;MEANING: Whether the renovation aligns with my values and sense of purpose, such as contributing to climate protection or doing something meaningful.",Medidas de microeficiencia
PROLIFIC_698db045fae28c25c8879634,Implementada,Smart home devices.,"COMPETENCE: How manageable the renovation feels in terms of knowledge, skills, technical feasibility, and my ability to make informed decisions.;AUTONOMY: The degree of personal control, effort, and long-term commitment required, and whether I feel able to sustain the decision over time.;POPULARITY: The influence of social norms, trends, or public opinion, including whether the renovation is socially recognised or supported by others.",Sistemas inteligentes del hogar
PROLIFIC_6597f6dc6f784e1f69bfadfa,Implementada,Rooftop photovoltaic system (Solar PV).,"FINANCIAL: Economic implications of the renovation, including costs, financial risks, access to funding, and potential economic benefits or losses.;PHYSIOLOGICAL: The impact of the renovation on health, physical wellbeing, and everyday comfort in the home.;MEANING: Whether the renovation aligns with my values and sense of purpose, such as contributing to climate protection or doing something meaningful.",Renovación de envolvente
PROLIFIC_698b10e112e204e2d1f0c126,Implementada,Energy-efficient appliances.,"FINANCIAL: Economic implications of the renovation, including costs, financial risks, access to funding, and potential economic benefits or losses.;COMPETENCE: How manageable the renovation feels in terms of knowledge, skills, technical feasibility, and my ability to make informed decisions.;PHYSIOLOGICAL: The impact of the renovation on health, physical wellbeing, and everyday comfort in the home.",Electrodomésticos eficientes
PROLIFIC_6a22e126f41c2f91aaf90b28,Implementada,Rooftop photovoltaic system (Solar PV).,"FINANCIAL: Economic implications of the renovation, including costs, financial risks, access to funding, and potential economic benefits or losses.",Renovación de envolvente
PROLIFIC_697b4452d0057be21360d8d6,Implementada,Smart home devices.,"FINANCIAL: Economic implications of the renovation, including costs, financial risks, access to funding, and potential economic benefits or losses.;SECURITY: The level of security and reliability involved, including legal certainty, safety risks, and trust in institutions, people, and technologies.",Sistemas inteligentes del hogar
