component,pattern,column
attention_quality,attention|check|line|quality,rv_concerns2__look_at_the_three_horizontal_lines_in_the_image_which_line_is_the_longest
attention_quality,attention|check|line|quality,rv_concerns2__please_rate_your_level_of_support_for_each_of_the_following_energy_system_infrastructure_on_a_scale_from_strongly_oppose_to_strongly_support_onshore_power_lines
attention_quality,attention|check|line|quality,rv_concerns2__please_rate_your_level_of_support_for_each_of_the_following_energy_system_infrastructure_on_a_scale_from_strongly_oppose_to_strongly_support_pipeline_expansion
attention_quality,attention|check|line|quality,rv_concerns2__we_noticed_you_have_concerns_about_onshore_power_lines_could_you_tell_us_why_please_select_up_to_three_concerns
attention_quality,attention|check|line|quality,rv_concerns2__we_noticed_you_have_concerns_about_pipeline_expansion_could_you_tell_us_why_please_select_up_to_three_concerns
attention_quality,attention|check|line|quality,rv_concerns2__which_of_the_following_would_help_reduce_your_concerns_about_disruption_comfort_or_quality_of_life_caused_by_the_renovation_please_select_all_that_apply
attention_quality,attention|check|line|quality,rv_decision__look_at_the_three_horizontal_lines_in_the_image_which_line_is_longest
attention_quality,attention|check|line|quality,rv_decision__technical_fit_i_carefully_check_that_the_technology_or_equipment_fits_my_lifestyle_or_the_technical_requirements_before_making_an_investment_decision
attention_quality,attention|check|line|quality,rv_energy_crisis__look_at_the_three_horizontal_lines_in_the_image_which_line_is_the_longest
attention_quality,attention|check|line|quality,rv_poverty__look_at_the_three_horizontal_lines_in_the_image_which_line_is_the_longest
attention_quality,attention|check|line|quality,why__do_you_live_alone_or_do_you_share_your_household_with_others_please_check_all_the_answers_that_apply_to_you_and_your_personal_situation_id1
attention_quality,attention|check|line|quality,why__how_much_do_you_think_a_diesel_or_gasoline_mid_range_brand_new_car_costs_in_id264
attention_quality,attention|check|line|quality,why__m_i_carefully_check_that_the_technology_or_equipment_fits_my_lifestyle_or_the_technical_requirements_before_making_an_investment_decision_id103
concerns_barriers,concern|barrier|worry|fear,det_14_environmental_concerns
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__at_the_end_of_the_survey_you_will_be_provided_a_link_to_continue_it_in_order_to_be_able_to_merge_your_answers_from_both_surveys_we_need_you_to_select_a_5_characters_identification_code_it_could_be_any_combination_of_letters_but_we_suggest_your_initials_plus_the_last_digits_of_your_birth_year_remember_to_copy_and_paste_it
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__do_you_currently_work_or_study_from_home
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__do_you_have_a_prolific_id_or_an_identification_code_from_a_previous_survey
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__do_you_have_any_health_condition_or_functional_limitation_that_requires_assistance_from_other_people_for_daily_activities_e_g_help_with_traveling_personal_care_or_household_tasks
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__for_each_of_the_following_technologies_decisions_or_behaviours_balcony_solar_kits
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__for_each_of_the_following_technologies_decisions_or_behaviours_change_of_electricity_tariff_e_g_switching_to_a_time_of_use_tariff
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__for_each_of_the_following_technologies_decisions_or_behaviours_cooling_system
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__for_each_of_the_following_technologies_decisions_or_behaviours_domestic_hot_water_system_e_g_gas_boiler_electric_water_heater_thermo_solar_thermal_system
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__for_each_of_the_following_technologies_decisions_or_behaviours_electric_vehicle
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__for_each_of_the_following_technologies_decisions_or_behaviours_elevator
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__for_each_of_the_following_technologies_decisions_or_behaviours_energy_efficient_appliances
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__for_each_of_the_following_technologies_decisions_or_behaviours_energy_storage_systems
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__for_each_of_the_following_technologies_decisions_or_behaviours_envelope_renovation_e_g_wall_roof_insulation_double_windows
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__for_each_of_the_following_technologies_decisions_or_behaviours_fossil_fuel_or_biomass_based_heating_system
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__for_each_of_the_following_technologies_decisions_or_behaviours_heat_pump_based_heating_system
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__for_each_of_the_following_technologies_decisions_or_behaviours_heat_recovery_mechanical_ventilation
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__for_each_of_the_following_technologies_decisions_or_behaviours_join_an_energy_community
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__for_each_of_the_following_technologies_decisions_or_behaviours_micro_efficiency_measures_e_g_avoiding_unnecessary_consumption
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__for_each_of_the_following_technologies_decisions_or_behaviours_rooftop_photovoltaic_system_solar_pv
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__for_each_of_the_following_technologies_decisions_or_behaviours_smart_home_systems
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__have_you_ever_taken_a_survey_about_this_project_before
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__if_you_were_planning_a_major_energy_renovation_for_your_home_e_g_replacing_your_heating_system_or_upgrading_insulation_which_of_the_following_sources_would_you_trust_most_for_advice_please_select_up_to_three_options
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__if_you_were_undertaking_a_major_home_renovation_e_g_replacing_your_heating_system_or_upgrading_insulation_which_channels_would_you_trust_most_for_information_please_rank_the_following_from_most_trusted_top_to_least_trusted_bottom
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__in_a_typical_day_how_much_total_time_do_you_spend_travelling_please_include_all_trips_and_all_modes_of_transport
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__in_a_typical_day_what_is_the_total_distance_you_travel_please_include_all_trips_and_all_modes_of_transport_car_bicycle_public_transport_walking_etc
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__in_which_climate_zone_do_you_live_please_select_the_option_that_corresponds_to_your_location_if_you_re_not_sure_which_climate_zone_you_live_in_please_refer_to_the_map_below_or_select_the_option_that_best_matches_your_region
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__in_which_country_do_you_currently_live
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__is_there_anything_else_you_would_like_to_share_with_us_regarding_your_experience_with_this_survey
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__look_at_the_three_horizontal_lines_in_the_image_which_line_is_the_longest
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__on_a_scale_from_0_to_100_where_0_means_most_left_and_100_means_most_right_where_would_you_place_yourself_politically
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__on_a_scale_of_0_to_100_where_0_means_climate_change_does_not_exist_and_100_means_climate_change_is_real_and_caused_by_human_activities_how_would_you_rate_your_level_of_awareness_of_climate_change
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__on_a_scale_of_0_to_100_where_0_means_i_am_not_interested_in_energy_efficiency_at_all_and_100_means_i_am_interested_in_getting_the_highest_efficiency_in_my_home_even_if_the_actions_are_not_cost_effective_how_would_you_rate_your_energy_efficiency_goal
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__on_a_scale_of_0_to_100_where_0_means_it_is_the_first_time_i_hear_about_it_and_100_means_i_am_an_expert_or_activist_how_would_you_rate_your_level_of_awareness_about_the_energy_transition
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__please_briefly_explain_why_none_of_the_options_above_apply_to_your_situation_or_describe_any_other_reasons_concerns_or_conditions_that_were_not_covered
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__please_enter_your_year_of_birth
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__please_follow_the_instruction_below_when_selecting_your_answer_select_option_4
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_balcony_solar_kits
