"","Early.Adopter","Fearful","Careful","Stubborn","Influencer","Uninterested","Homo.Economicus","8"
"1","Own Significance","Own Significance","Cost-Efficiency","Cost-Efficiency","Socialising","Own Significance","Own Significance","Own Significance"
"2","Brag","Cost-Efficiency","Self-Satisfaction","Self-Satisfaction","Own Significance","Brag","Cost-Efficiency","Socialising"
"3","Trends","Brag","Knowledge","Knowledge","Authority","Trends","Socialising","Brag"
"4","Socialising","Knowledge","Adherence","Credit Score","Support","Socialising","Self-Satisfaction","Knowledge"
"5","Authority","Self-Satisfaction","Risk Profile","Safety","Brag","Cost-Efficiency","Risk Profile","Cost-Efficiency"
"6","Knowledge","Adherence","Technical Fit","Adherence","Legal","Authority","Credit Score","Peer-Pressure"
"7","Fun","Technical Fit","Safety","Technical Fit","Trends","Self-Satisfaction","Brag","Trends"
"8","Self-Satisfaction","Safety","Wellbeing","Climate Protection","Fun","Legal","Knowledge","Self-Satisfaction"
"9","Environmental Concerns","Credit Score","Climate Protection","Own Significance","Added Value","Wellbeing","Technical Fit","Technical Fit"
"10","Adherence","Commitment","Trust","Brag","Cost-Efficiency","Support","Safety","Safety"
"11","Peer-Pressure","Socialising","Commitment","Risk Profile","Agreement","Knowledge","Trends","Trust"
"12","Cost-Efficiency","Risk Profile","Environmental Concerns","Wellbeing","Knowledge","Peer-Pressure","Trust","Environmental Concerns"
"13","Safety","Climate Protection","Credit Score","Commitment","Peer-Pressure","Technical Fit","Fun","Legal"
"14","Commitment","Wellbeing","Autarky","Own Competence","Poseur","Cozyness","Adherence","Adherence"
"15","Novelty","Trust","Own Competence","Environmental Concerns","Credit Score","Adherence","Profits","Commitment"
