"","survey","variable","question"
"1","decision","do_you_have_a_prolific_id_or_an_identification_code_from_a_previous_survey","Do you have a Prolific ID or an identification code from a previous survey?"
"2","decision","please_provide_your_prolific_id","Please provide your Prolific ID."
"3","decision","have_you_ever_taken_a_survey_about_this_project_before","Have you ever taken a survey about this project before?"
"4","decision","please_provide_your_identification_code","Please provide your identification code."
"5","decision","please_enter_your_year_of_birth","Please enter your year of birth."
"6","decision","what_is_your_gender","What is your gender?"
"7","decision","in_which_country_do_you_currently_live","In which country do you currently live?"
"8","decision","what_is_the_approximate_population_size_of_the_city_where_you_live","What is the approximate population size of the city where you live?"
"9","decision","in_which_climate_zone_do_you_live_please_select_the_option_that_corresponds_to_your_location_if_you_re_not_sure_which_climate_zone_you_live_in_please_refer_to_the_map_below_or_select_the_option_that_best_matches_your_region","In which climate zone do you live? Please select the option that corresponds to your location. If you’re not sure which climate zone you live in, please refer to the map below or select the option that best matches your region."
"10","decision","what_type_of_household_do_you_live_in_please_select_the_option_that_best_describes_your_household","What type of household do you live in? Please select the option that best describes your household."
"11","decision","what_is_the_current_tenure_status_of_your_home","What is the current tenure status of your home?"
"12","decision","what_is_the_highest_level_of_education_that_you_have_completed_if_you_are_currently_studying_and_have_not_yet_completed_a_level_please_select_the_last_level_you_have_finished","What is the highest level of education that you have completed? If you are currently studying and have not yet completed a level, please select the last level you have finished."
"13","decision","what_is_your_current_employment_status_please_indicate_your_main_contractual_status_if_you_are_temporarily_on_leave_such_as_sick_leave_parental_leave_or_a_temporary_reduction_in_working_hours_please_report_your_usual_employment_status","What is your current employment status? Please indicate your main contractual status. If you are temporarily on leave — such as sick leave, parental leave, or a temporary reduction in working hours — please report your usual employment status."
"14","decision","do_you_have_any_health_condition_or_functional_limitation_that_requires_assistance_from_other_people_for_daily_activities_e_g_help_with_traveling_personal_care_or_household_tasks","Do you have any health condition or functional limitation that requires assistance from other people for daily activities? (e.g., help with traveling, personal care, or household tasks.)"
"15","decision","in_a_typical_day_what_is_the_total_distance_you_travel_please_include_all_trips_and_all_modes_of_transport_car_bicycle_public_transport_walking_etc","In a typical day, what is the total distance you travel? Please include all trips and all modes of transport: car, bicycle, public transport, walking, etc."
"16","decision","in_a_typical_day_how_much_total_time_do_you_spend_travelling_please_include_all_trips_and_all_modes_of_transport","In a typical day, how much total time do you spend travelling? Please include all trips and all modes of transport."
"17","decision","do_you_currently_work_or_study_from_home","Do you currently work or study from home?"
"18","decision","which_of_the_following_best_describes_your_usual_travel_role","Which of the following best describes your usual travel role?"
"19","decision","which_of_the_following_best_describes_your_general_approach_to_voting_in_elections","Which of the following best describes your general approach to voting in elections?"
"20","decision","on_a_scale_from_0_to_100_where_0_means_most_left_and_100_means_most_right_where_would_you_place_yourself_politically","On a scale from 0 to 100, where 0 means ""most left"" and 100 means ""most right"", where would you place yourself politically?"
"21","decision","which_statement_best_describes_you_when_making_an_investment_decision_related_to_your_household","Which statement best describes you when making an investment decision related to your household?"
"22","decision","on_a_scale_of_0_to_100_where_0_means_i_am_not_interested_in_energy_efficiency_at_all_and_100_means_i_am_interested_in_getting_the_highest_efficiency_in_my_home_even_if_the_actions_are_not_cost_effective_how_would_you_rate_your_energy_efficiency_goal","On a scale of 0 to 100, where 0 means “I am not interested in energy efficiency at all” and 100 means “I am interested in getting the highest efficiency in my home, even if the actions are not cost effective” how would you rate your energy efficiency goal?"
"23","decision","on_a_scale_of_0_to_100_where_0_means_climate_change_does_not_exist_and_100_means_climate_change_is_real_and_caused_by_human_activities_how_would_you_rate_your_level_of_awareness_of_climate_change","On a scale of 0 to 100, where 0 means “Climate change does not exist” and 100 means “Climate change is real and caused by human activities”, how would you rate your level of awareness of climate change?"
"24","decision","on_a_scale_of_0_to_100_where_0_means_it_is_the_first_time_i_hear_about_it_and_100_means_i_am_an_expert_or_activist_how_would_you_rate_your_level_of_awareness_about_the_energy_transition","On a scale of 0 to 100, where 0 means “It is the first time I hear about it” and 100 means “I am an expert or activist”, how would you rate your level of awareness about the energy transition?"
"25","decision","look_at_the_three_horizontal_lines_in_the_image_which_line_is_longest","Look at the three horizontal lines in the image. Which line is longest?"
"26","decision","for_each_of_the_following_technologies_decisions_or_behaviours_micro_efficiency_measures_e_g_avoiding_unnecessary_consumption","For each of the following technologies, decisions, or behaviours:: Micro-efficiency measures (e.g. avoiding unnecessary consumption)"
"27","decision","for_each_of_the_following_technologies_decisions_or_behaviours_change_of_electricity_tariff_e_g_switching_to_a_time_of_use_tariff","For each of the following technologies, decisions, or behaviours:: Change of electricity tariff (e.g. switching to a time -of-use tariff)"
"28","decision","for_each_of_the_following_technologies_decisions_or_behaviours_energy_efficient_appliances","For each of the following technologies, decisions, or behaviours:: Energy-efficient appliances"
"29","decision","for_each_of_the_following_technologies_decisions_or_behaviours_rooftop_photovoltaic_system_solar_pv","For each of the following technologies, decisions, or behaviours:: Rooftop photovoltaic system (Solar PV)"
"30","decision","for_each_of_the_following_technologies_decisions_or_behaviours_energy_storage_systems","For each of the following technologies, decisions, or behaviours:: Energy storage systems"
"31","decision","for_each_of_the_following_technologies_decisions_or_behaviours_fosil_fuel_or_biomass_based_heating_system","For each of the following technologies, decisions, or behaviours:: Fosil fuel or biomass based heating system"
"32","decision","for_each_of_the_following_technologies_decisions_or_behaviours_cooling_system","For each of the following technologies, decisions, or behaviours:: Cooling system"
"33","decision","for_each_of_the_following_technologies_decisions_or_behaviours_envelope_renovation_e_g_wall_roof_insulation_double_windows","For each of the following technologies, decisions, or behaviours:: Envelope renovation (e.g. wall/roof insulation, double windows)"
"34","decision","for_each_of_the_following_technologies_decisions_or_behaviours_electric_vehicle","For each of the following technologies, decisions, or behaviours:: Electric vehicle"
"35","decision","for_each_of_the_following_technologies_decisions_or_behaviours_heat_recovery_mechanical_ventilation","For each of the following technologies, decisions, or behaviours:: Heat recovery mechanical ventilation"
"36","decision","for_each_of_the_following_technologies_decisions_or_behaviours_smart_home_systems","For each of the following technologies, decisions, or behaviours:: Smart home systems"
"37","decision","for_each_of_the_following_technologies_decisions_or_behaviours_elevator","For each of the following technologies, decisions, or behaviours:: Elevator"
"38","decision","for_each_of_the_following_technologies_decisions_or_behaviours_heat_pump_based_heating_system","For each of the following technologies, decisions, or behaviours:: Heat pump based heating system"
"39","decision","for_each_of_the_following_technologies_decisions_or_behaviours_domestic_hot_water_system_e_g_gas_boiler_electric_water_heater_thermo_solar_thermal_system","For each of the following technologies, decisions, or behaviours:: Domestic Hot Water system (e.g. gas boiler, electric water heater/thermo, solar thermal system)."
"40","decision","for_each_of_the_following_technologies_decisions_or_behaviours_join_an_energy_community","For each of the following technologies, decisions, or behaviours:: Join an Energy Community"
"41","decision","for_each_of_the_following_technologies_decisions_or_behaviours_balcony_solar_kits","For each of the following technologies, decisions, or behaviours:: Balcony solar kits"
"42","decision","please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_micro_efficiency_measures_e_g_avoiding_unnecessary_consumption","Please, indicate when the technology / decision was implemented or contracted. If it was part of the original building and has never been upgraded, please indicate the age of the building.: Micro-efficiency measures (e.g. avoiding unnecessary consumption)"
"43","decision","please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_change_of_electricity_tariff_e_g_switching_to_a_time_of_use_tariff","Please, indicate when the technology / decision was implemented or contracted. If it was part of the original building and has never been upgraded, please indicate the age of the building.: Change of electricity tariff (e.g. switching to a time -of-use tariff)"
"44","decision","please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_energy_efficient_appliances","Please, indicate when the technology / decision was implemented or contracted. If it was part of the original building and has never been upgraded, please indicate the age of the building.: Energy-efficient appliances"
"45","decision","please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_rooftop_photovoltaic_system_solar_pv","Please, indicate when the technology / decision was implemented or contracted. If it was part of the original building and has never been upgraded, please indicate the age of the building.: Rooftop photovoltaic system (Solar PV)"
"46","decision","please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_energy_storage_systems","Please, indicate when the technology / decision was implemented or contracted. If it was part of the original building and has never been upgraded, please indicate the age of the building.: Energy storage systems"
"47","decision","please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_fosil_fuel_or_biomass_based_heating_system","Please, indicate when the technology / decision was implemented or contracted. If it was part of the original building and has never been upgraded, please indicate the age of the building.: Fosil fuel or biomass based heating system"
"48","decision","please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_cooling_system","Please, indicate when the technology / decision was implemented or contracted. If it was part of the original building and has never been upgraded, please indicate the age of the building.: Cooling system"
"49","decision","please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_envelope_renovation_e_g_wall_roof_insulation_double_windows","Please, indicate when the technology / decision was implemented or contracted. If it was part of the original building and has never been upgraded, please indicate the age of the building.: Envelope renovation (e.g. wall/roof insulation, double windows)"
"50","decision","please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_electric_vehicle","Please, indicate when the technology / decision was implemented or contracted. If it was part of the original building and has never been upgraded, please indicate the age of the building.: Electric vehicle"
"51","decision","please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_heat_recovery_mechanical_ventilation","Please, indicate when the technology / decision was implemented or contracted. If it was part of the original building and has never been upgraded, please indicate the age of the building.: Heat recovery mechanical ventilation"
"52","decision","please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_smart_home_systems","Please, indicate when the technology / decision was implemented or contracted. If it was part of the original building and has never been upgraded, please indicate the age of the building.: Smart home systems"
"53","decision","please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_elevator","Please, indicate when the technology / decision was implemented or contracted. If it was part of the original building and has never been upgraded, please indicate the age of the building.: Elevator"
"54","decision","please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_heat_pump_based_heating_system","Please, indicate when the technology / decision was implemented or contracted. If it was part of the original building and has never been upgraded, please indicate the age of the building.: Heat pump based heating system"
"55","decision","please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_domestic_hot_water_system_e_g_gas_boiler_electric_water_heater_thermo_solar_thermal_system","Please, indicate when the technology / decision was implemented or contracted. If it was part of the original building and has never been upgraded, please indicate the age of the building.: Domestic Hot Water system (e.g. gas boiler, electric water heater/thermo, solar thermal system)."
"56","decision","please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_join_an_energy_community","Please, indicate when the technology / decision was implemented or contracted. If it was part of the original building and has never been upgraded, please indicate the age of the building.: Join an Energy Community"
"57","decision","please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_balcony_solar_kits","Please, indicate when the technology / decision was implemented or contracted. If it was part of the original building and has never been upgraded, please indicate the age of the building.: Balcony solar kits"
"58","decision","which_statement_best_describes_your_role_or_situation_regarding_household_renovation_decisions","Which statement best describes your role or situation regarding household renovation decisions?"
"59","decision","in_your_household_how_are_decisions_usually_made","In your household, how are decisions usually made?"
"60","decision","profits_profits_are_what_guide_my_decision_making_i_always_prefer_to_earn_or_save_money_with_every_decision_i_take","PROFITS: Profits are what guide my decision making, I always prefer to earn or save money with every decision I take."
"61","decision","credit_score_access_to_funding_my_own_savings_deductions_exemptions_and_or_credits_is_the_main_factor_that_allows_hinders_me_to_make_an_investment_decision","CREDIT SCORE: Access to funding (my own savings, deductions, exemptions, and/or credits) is the main factor that allows/hinders me to make an investment decision."
"62","decision","risk_profile_the_evaluation_of_the_risks_of_my_investment_s_is_what_will_always_guide_my_final_decision","RISK PROFILE: The evaluation of the risks of my investment(s) is what will always guide my final decision."
