age_group_pyramid,gender,generation_pyramid,n,percentage
19-25,Hombre,Generación Z,11,2.9
19-25,Mujer,Generación Z,25,6.6
26-30,Hombre,Millennials,18,4.7
26-30,Mujer,Millennials,40,10.5
31-35,Hombre,Millennials,17,4.5
31-35,Mujer,Millennials,25,6.6
36-40,Hombre,Millennials,14,3.7
36-40,Mujer,Millennials,27,7.1
41-45,Hombre,Generación X,23,6
41-45,Mujer,Generación X,16,4.2
46-50,Hombre,Generación X,16,4.2
46-50,Mujer,Generación X,14,3.7
51-55,Hombre,Generación X,17,4.5
51-55,Mujer,Generación X,14,3.7
56-60,Hombre,Boomers +,25,6.6
56-60,Mujer,Boomers +,14,3.7
61-65,Hombre,Boomers +,24,6.3
61-65,Mujer,Boomers +,11,2.9
66-70,Hombre,Boomers +,14,3.7
66-70,Mujer,Boomers +,4,1
71-75,Hombre,Boomers +,5,1.3
71-75,Mujer,Boomers +,0,0
76-79,Hombre,Boomers +,5,1.3
76-79,Mujer,Boomers +,0,0
80+,Hombre,Boomers +,1,0.3
80+,Mujer,Boomers +,1,0.3
