participant_id,stage,technology,technology_raw,dimension_key,dimension,dimensions_raw
PROLIFIC_6a229a11e392c08625a712bd,Implementada,Renovación de envolvente,"Envelope renovation (e.g. wall/roof insulation, double windows).",FINANCIAL,Seguridad financiera,"FINANCIAL: Economic implications of the renovation, including costs, financial risks, access to funding, and potential economic benefits or losses."
PROLIFIC_69f0ef9892bba1b2c3596e76,Implementada,Renovación de envolvente,Rooftop photovoltaic system (Solar PV).,FINANCIAL,Seguridad financiera,"FINANCIAL: Economic implications of the renovation, including costs, financial risks, access to funding, and potential economic benefits or losses."
PROLIFIC_6a229bc24afaa132a0944070,Implementada,Agua caliente sanitaria,Domestic hot water system.,FINANCIAL,Seguridad financiera,"FINANCIAL: Economic implications of the renovation, including costs, financial risks, access to funding, and potential economic benefits or losses.;PHYSIOLOGICAL: The impact of the renovation on health, physical wellbeing, and everyday comfort in the home.;MEANING: Whether the renovation aligns with my values and sense of purpose, such as contributing to climate protection or doing something meaningful."
PROLIFIC_6a229bc24afaa132a0944070,Implementada,Agua caliente sanitaria,Domestic hot water system.,PHYSIOLOGICAL,Materialidad,"FINANCIAL: Economic implications of the renovation, including costs, financial risks, access to funding, and potential economic benefits or losses.;PHYSIOLOGICAL: The impact of the renovation on health, physical wellbeing, and everyday comfort in the home.;MEANING: Whether the renovation aligns with my values and sense of purpose, such as contributing to climate protection or doing something meaningful."
PROLIFIC_6a229bc24afaa132a0944070,Implementada,Agua caliente sanitaria,Domestic hot water system.,MEANING,Significado,"FINANCIAL: Economic implications of the renovation, including costs, financial risks, access to funding, and potential economic benefits or losses.;PHYSIOLOGICAL: The impact of the renovation on health, physical wellbeing, and everyday comfort in the home.;MEANING: Whether the renovation aligns with my values and sense of purpose, such as contributing to climate protection or doing something meaningful."
PROLIFIC_5f2dcc4c7989510ff7699cab,Implementada,Electrodomésticos eficientes,Energy-efficient appliances.,FINANCIAL,Seguridad financiera,"FINANCIAL: Economic implications of the renovation, including costs, financial risks, access to funding, and potential economic benefits or losses.;COMPETENCE: How manageable the renovation feels in terms of knowledge, skills, technical feasibility, and my ability to make informed decisions.;AUTONOMY: The degree of personal control, effort, and long-term commitment required, and whether I feel able to sustain the decision over time."
PROLIFIC_5f2dcc4c7989510ff7699cab,Implementada,Electrodomésticos eficientes,Energy-efficient appliances.,COMPETENCE,Competencia,"FINANCIAL: Economic implications of the renovation, including costs, financial risks, access to funding, and potential economic benefits or losses.;COMPETENCE: How manageable the renovation feels in terms of knowledge, skills, technical feasibility, and my ability to make informed decisions.;AUTONOMY: The degree of personal control, effort, and long-term commitment required, and whether I feel able to sustain the decision over time."
PROLIFIC_5f2dcc4c7989510ff7699cab,Implementada,Electrodomésticos eficientes,Energy-efficient appliances.,AUTONOMY,Autonomía,"FINANCIAL: Economic implications of the renovation, including costs, financial risks, access to funding, and potential economic benefits or losses.;COMPETENCE: How manageable the renovation feels in terms of knowledge, skills, technical feasibility, and my ability to make informed decisions.;AUTONOMY: The degree of personal control, effort, and long-term commitment required, and whether I feel able to sustain the decision over time."
PROLIFIC_661581f5ba8868414baed7ca,Implementada,Sistema de refrigeración,Cooling system.,PHYSIOLOGICAL,Materialidad,"PHYSIOLOGICAL: The impact of the renovation on health, physical wellbeing, and everyday comfort in the home."
CODE_6a1d9,Implementada,Sistema de refrigeración,Cooling system.,FINANCIAL,Seguridad financiera,"FINANCIAL: Economic implications of the renovation, including costs, financial risks, access to funding, and potential economic benefits or losses.;COMPETENCE: How manageable the renovation feels in terms of knowledge, skills, technical feasibility, and my ability to make informed decisions.;AUTONOMY: The degree of personal control, effort, and long-term commitment required, and whether I feel able to sustain the decision over time."
CODE_6a1d9,Implementada,Sistema de refrigeración,Cooling system.,COMPETENCE,Competencia,"FINANCIAL: Economic implications of the renovation, including costs, financial risks, access to funding, and potential economic benefits or losses.;COMPETENCE: How manageable the renovation feels in terms of knowledge, skills, technical feasibility, and my ability to make informed decisions.;AUTONOMY: The degree of personal control, effort, and long-term commitment required, and whether I feel able to sustain the decision over time."
CODE_6a1d9,Implementada,Sistema de refrigeración,Cooling system.,AUTONOMY,Autonomía,"FINANCIAL: Economic implications of the renovation, including costs, financial risks, access to funding, and potential economic benefits or losses.;COMPETENCE: How manageable the renovation feels in terms of knowledge, skills, technical feasibility, and my ability to make informed decisions.;AUTONOMY: The degree of personal control, effort, and long-term commitment required, and whether I feel able to sustain the decision over time."
